rssi[0]=-8 rssi[1]=-8
agc_idx=1
stepno,t1,t2,hartt_stat,stat0,hpmcal,AA
0,0,0,0,0,0,0x215EE636
1,0,0,0,0,0,0x41118D59
2,20185,24601,5046334,14596,2275,0x3B737102
3,32601,37017,4259902,14596,2275,0xFC411F30
4,45017,49433,5898343,12548,2275,0xF9295459
5,57433,61849,5046313,67057924,2327,0xD7E3E66B
6,4313,8729,5308437,13572,2275,0xF15812CE
7,16729,21145,5439570,67056900,2226,0xA21AC849
8,29145,33561,4456551,67057924,2275,0x91387EE9
9,41561,45977,4325438,14596,2226,0x307B9C7F
10,53977,58393,4915282,14596,2226,0xFC8C4845
11,857,5273,4325437,14596,2275,0x3509C3E1
12,13273,17689,5046334,13572,2275,0x920D97D0
13,25689,30105,5963817,67056900,2275,0xF72E9B9B
14,38105,42521,5308498,13572,2226,0x3EAE53C9
15,50521,54937,5308457,13572,2226,0x85C2CD96
16,62937,1817,5177385,13572,2275,0x86B53E4E
17,9817,14233,4587540,13572,2275,0x26B856C0
18,22233,26649,4456489,13572,2226,0x7F44B0AC
19,34649,39065,5177365,13572,2275,0x47163490
20,47065,51481,5570580,13572,2226,0xA24B3C46
21,59481,63897,5636117,13572,2178,0x0D9EB247
22,6361,10777,4587582,67056900,2226,0xBA824ADF
23,18777,23193,4718653,67056900,2275,0xB604A113
24,31193,35609,5046313,13572,2226,0xD75CD2C0
25,43609,48025,4784190,13572,2178,0x85D8AF24
26,56025,60441,5701632,12548,2275,0xA6D70D36
27,2905,7321,5570601,12548,2226,0xEAC8290A
28,15321,19737,5439488,67056900,2226,0xB94F6BF3
29,27737,32153,4325437,14596,2226,0xE7BBC1B0
