rssi[0]=-9 rssi[1]=-9
agc_idx=1
stepno,t1,t2,hartt_stat,stat0,hpmcal,AA
0,0,0,0,0,0,0x215EE636
1,0,0,0,0,0,0x41118D59
2,41149,49165,62259034,2052,2090,0x3B737102
3,53565,61573,6029270,13572,2133,0xFC411F30
4,445,8461,814809088,67046148,2133,0xF9295459
5,12861,20877,813825945,67045380,2133,0xD7E3E66B
6,25277,33293,813760450,67045380,2090,0xF15812CE
7,37693,45709,62717911,67045636,2090,0xA21AC849
8,50109,58117,7798722,67055620,2090,0x91387EE9
9,62525,4997,6356867,67056900,2090,0x307B9C7F
10,9405,17421,813629398,67044868,2133,0xFC8C4845
11,21821,29829,6160259,67055876,2090,0x3509C3E1
12,34237,42253,814088089,67045380,2090,0x920D97D0
13,46653,54669,62062550,67045380,2090,0xF72E9B9B
14,59069,1549,814284676,67045380,2090,0x3EAE53C9
15,5949,13965,61865839,67046148,2133,0x85C2CD96
16,18365,26381,813825903,67045380,2090,0x86B53E4E
17,30781,38789,7929711,12292,2090,0x26B856C0
18,43197,51213,813301657,2052,2048,0x7F44B0AC
19,55613,63629,814284696,2052,2048,0x47163490
20,2493,10509,814284676,67045380,2090,0xA24B3C46
21,14909,22925,814612273,67045380,2090,0x0D9EB247
22,27325,35333,331022274,67055620,2048,0xBA824ADF
23,39741,47757,813629336,67045380,2048,0xB604A113
24,52157,60173,62128025,67046148,2048,0xD75CD2C0
25,64573,7053,814219160,67045380,2133,0x85D8AF24
26,11453,19461,330628996,67055620,2048,0xA6D70D36
27,23869,31877,9371627,12292,2048,0xEAC8290A
28,36285,44301,813105048,67045380,2090,0xB94F6BF3
29,48701,56709,7602134,12548,2008,0xE7BBC1B0
