rssi[0]=-29 rssi[1]=-29
agc_idx=5
stepno,t1,t2,hartt_stat,stat0,hpmcal,AA
0,0,0,0,0,0,0x215EE636
1,0,0,0,0,0,0x41118D59
2,53772,59630,328466411,12548,2133,0x3B737102
3,655,6510,61472727,67045380,2178,0xFC411F30
4,13069,18926,328335278,67055620,2178,0xF9295459
5,25484,31342,328925102,67055876,2178,0xD7E3E66B
6,37903,43758,60620759,2052,2133,0xF15812CE
7,50316,56174,328204226,67055876,2178,0xA21AC849
8,62732,3054,329121710,67055876,2178,0x91387EE9
9,9615,15470,61865922,67045380,2178,0x307B9C7F
10,22028,27886,329383895,67055876,2226,0xFC8C4845
11,34443,40302,328794071,13572,2178,0x3509C3E1
12,46860,52718,328531906,12548,2178,0x920D97D0
13,59279,65134,59703193,67046148,2133,0xF72E9B9B
14,6156,12014,328925163,12548,2133,0x3EAE53C9
15,18575,24430,60162007,67046148,2178,0x85C2CD96
16,30991,36846,60227522,67046148,2178,0x86B53E4E
17,43407,49262,60162048,2820,2133,0x26B856C0
18,55823,61678,60686315,2820,2133,0x7F44B0AC
19,2703,8558,59965440,2820,2178,0x47163490
