rssi[0]=-28 rssi[1]=-28
agc_idx=5
stepno,t1,t2,hartt_stat,stat0,hpmcal,AA
0,0,0,0,0,0,0x215EE636
1,0,0,0,0,0,0x41118D59
2,42779,49328,5504983,13572,2178,0x3B737102
3,55195,61743,3473490,15364,2133,0xFC411F30
4,2075,8624,5963837,67056900,2133,0xF9295459
5,14491,21040,5111829,67056900,2133,0xD7E3E66B
6,26907,33456,5242942,13572,2133,0xF15812CE
7,39323,45873,6160384,67055876,2178,0xA21AC849
8,51739,58288,4718572,67056900,2133,0x91387EE9
9,64155,5167,3997655,15364,2090,0x307B9C7F
10,11035,17584,5242941,67056900,2133,0xFC8C4845
11,23451,29999,4390912,14596,2178,0x3509C3E1
12,35867,42416,4980736,13572,2133,0x920D97D0
13,48283,54832,6488085,67056900,2090,0xF72E9B9B
14,60699,1712,5373911,13572,2178,0x3EAE53C9
15,7579,14128,6094807,13572,2090,0x85C2CD96
16,19995,26544,5373931,13572,2090,0x86B53E4E
17,32411,38960,5636055,13572,2090,0x26B856C0
18,44827,51376,5373972,144644,2090,0x7F44B0AC
19,57243,63792,4718592,13572,2133,0x47163490
