rssi[0]=-34 rssi[1]=-34
agc_idx=6
stepno,t1,t2,hartt_stat,stat0,hpmcal,AA
0,0,0,0,0,0,0x215EE636
1,0,0,0,0,0,0x41118D59
2,41306,49330,67043287,4,2178,0x3B737102
3,53722,61746,66388050,4,2178,0xFC411F30
4,602,8626,66846802,67043332,2133,0xF9295459
5,13018,21042,20,67043332,2133,0xD7E3E66B
6,25434,33458,66519122,4,2178,0xF15812CE
7,37850,45874,131092,67043332,2133,0xA21AC849
8,50266,58290,66977792,67043332,2133,0x91387EE9
9,62682,5170,66715607,67043332,2133,0x307B9C7F
10,9562,17586,66519122,67043332,2133,0xFC8C4845
11,21978,30002,66125824,4,2178,0x3509C3E1
12,34394,42418,66519060,4,2178,0x920D97D0
13,46810,54834,61,67043332,2133,0xF72E9B9B
14,59226,1714,66977772,4,2133,0x3EAE53C9
15,6106,14130,66650092,67058692,2133,0x85C2CD96
16,18522,26546,66715628,15364,2133,0x86B53E4E
17,30938,38962,0,15364,2133,0x26B856C0
18,43354,51378,66846740,15364,2133,0x7F44B0AC
19,55770,63794,66977812,15364,2133,0x47163490
