rssi[0]=-35 rssi[1]=-35
agc_idx=6
stepno,t1,t2,hartt_stat,stat0,hpmcal,AA
0,0,0,0,0,0,0x215EE636
1,0,0,0,0,0,0x41118D59
2,35655,40063,6815744,13572,2178,0x3B737102
3,48071,52479,5636055,14596,2178,0xFC411F30
4,60487,64895,8126402,67055876,2226,0xF9295459
5,7367,11775,7471001,67056900,2133,0xD7E3E66B
6,19783,24191,7012331,67055876,2226,0xF15812CE
7,32199,36607,7929774,67055876,2226,0xA21AC849
8,44615,49023,7143342,67056900,2133,0x91387EE9
9,57031,61439,6291415,67057924,2133,0x307B9C7F
10,3911,8319,6881218,67056900,2226,0xFC8C4845
11,16327,20735,6422466,13572,2178,0x3509C3E1
12,28743,33151,6750167,67056900,2178,0x920D97D0
13,41159,45567,7995310,66924804,2178,0xF72E9B9B
14,53575,57983,7536599,67056900,2178,0x3EAE53C9
15,455,4863,7929794,67056900,2178,0x85C2CD96
16,12871,17279,7667650,67056900,2178,0x86B53E4E
17,25287,29695,7405568,12548,2133,0x26B856C0
18,37703,42111,6946816,13572,2178,0x7F44B0AC
19,50119,54527,7733248,12548,2133,0x47163490
